id,title,duration,technology,type,boxoffice,first_boxoffice,actor,issue_company,manu_company,release_date,year,month,day,day_of_week,quarter,week,type_list,num_types,genre_剧情,genre_爱情,genre_喜剧,genre_动作,genre_惊悚,genre_动画,genre_悬疑,genre_冒险,genre_犯罪,genre_战争,genre_恐怖,genre_奇幻,genre_儿童,genre_纪录片,genre_青春,technology_list,technology_2D,technology_3D,technology_IMAX,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,is_weekend,springfestival,summer,nationalday
11,大惊小怪,95.0,2D,喜剧,200.0,,刘金山 Jinshan Liu;;;袁莉 Li Yuan;;;张世 Shi Zhang,;;;中国电影集团公司 China Film Group Corporation,,2000-12-28,2000,12,28,3,4,52,['喜剧'],1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False
16,走出西柏坡,95.0,2D,剧情,37.8,,陈大卫 Dawei Chen;;;古月 Gu Yue;;;孙海英 Haiying Sun,,;;;上海电影制片厂 Shanghai Film Studio,2001-09-07,2001,9,7,4,3,36,['剧情'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,False
17,小虎斑斑,122.0,2D,动画,100.9,,,,;;;中国电影集团公司 China Film Group Corporation;;;中国儿童电影制片厂 China Children's Film Studio,2001-07-13,2001,7,13,4,3,28,['动画'],1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,True,False
18,大腕,100.0,2D,喜剧,4300.4,0.0,葛优 You Ge;;;关之琳 Rosamund Kwan;;;唐纳德·萨瑟兰 Donald Sutherland;;;英达 Da Ying;;;保罗·马佐斯基 Paul Mazursky;;;王宝强 Baoqiang Wang;;;陶泽如 Zeru Tao;;;张涵予 Hanyu Zhang,";;; Columbia TriStar Films de Argentina;;; Columbia TriStar Italia;;; Columbia TriStar;;; LK-TEL;;;索尼经典影业公司 Sony Pictures Classics;;;索尼电影娱乐公司 Sony Pictures Entertainment;;;北京太合环球影业投资有限公司 Beijing Taihe Huanqiu Pictures Investment Co.,Ltd",";;;美国哥伦比亚影业公司 Columbia Pictures Industries, Inc.;;; 北京华谊兄弟广告有限公司 Beijing HY.Brothers Advertising Co.,Ltd;;; Taihe Film Investment Co. Ltd.",2001-12-21,2001,12,21,4,4,51,['喜剧'],1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,False
19,刮痧,95.0,2D,剧情,800.0,,梁家辉 Tony Leung Ka Fai;;;蒋雯丽 Wenli Jiang;;;朱旭 Xu Zhu;;;乔·梅 Jo Mei,";;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd",";;;北京紫禁城影业有限责任公司 Beijing Forbidden City Pictures Co.,Ltd",2001-03-08,2001,3,8,3,1,10,['剧情'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False
20,谁说我不在乎,110.0,2D,喜剧,600.0,,冯巩 Gong Feng;;;李小萌 Xiaoming Li;;;吕丽萍 Liping Lu;;;冯小刚 Xiaogang Feng;;;牛振华 Zhenhua Niu;;;王志文 Zhiwen Wang,";;;;;; 北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd",";;;北京紫禁城影业有限责任公司 Beijing Forbidden City Pictures Co.,Ltd;;;西安电影制片厂有限公司 Xian Film Studio;;; Xian Ginwa Film Co.",2001-07-13,2001,7,13,4,3,28,['喜剧'],1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,True,False
21,我的兄弟姐妹,95.0,2D,剧情/亲情,2300.2,,崔健 Jian Cui;;;姜武 Wu Jiang;;;梁咏琪 Gigi Leung;;;夏雨 Yu Xia;;;张健新 Jianxin Zhang,;;; Cinema Parisien Inc.;;; Wise Policy;;;博纳影业集团股份有限公司 Bona Film Group,,2001-06-13,2001,6,13,2,2,24,"['剧情', '亲情']",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False
22,夏日暖洋洋,97.0,2D,剧情,0.1,,余雷 Lei Yu;;;左夏初 Xia-chu Zuo;;;陶红 Hong Tao;;;刘淼 Miao Liu,;;; Connaissance du Cin&#233;ma;;;中国电影集团公司 China Film Group Corporation,";;; Eurasia Communications;;;北京幸福村文化交流有限公司 Beijing Xingfucun Cultural Exchange Co.,Ltd",2001-09-30,2001,9,30,6,3,39,['剧情'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,False
23,宇宙与人,60.0,2D,纪录片,0.1,,,;;;北京科学教育电影制片厂 Beijing Science Education Film Studios,;;;北京科学教育电影制片厂 Beijing Science Education Film Studios;;; 国家新闻出版广电总局电影卫星频道节目制作中心 China Movie Channel SARFT,2001-02-28,2001,2,28,2,1,9,['纪录片'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['2D'],1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False
25,龙凤斗智蟠龙坊,95.0,2D,喜剧,0.2,,刘恺威 Hawick Lau;;;梁小冰 Siu-bing Leung;;;虞梦 Meng Yu;;;孔斐 Fei Kong,;;;成都环球影视 Chengdu Universal Film & TV,;;;峨眉电影制片厂 Emei Film Studio,2001-04-13,2001,4,13,4,2,15,['喜剧'],1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,False
26,绝对情感,95.0,2D,爱情,400.0,,刘蓓 Bei Liu;;;袁莉 Li Yuan;;;尤勇智 Yongzhi You;;;王学兵 Xuebing Wang,";;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd",";;;北京新影联影业有限责任公司 Beijing New Film Association Co,.Ltd",2001-12-07,2001,12,7,4,4,49,['爱情'],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,False
42,冲出亚马逊,102.0,2D,动作,704.1,,侯勇 Yong Hou;;;穆立新 Lixin Mu,,;;;八一电影制片厂 Bayi Film Studio;;;国家新闻出版广电总局电影卫星频道节目制作中心 China Movie Channel SARFT,2002-07-25,2002,7,25,3,3,30,['动作'],1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,False
43,首席执行官,95.0,2D,剧情,232.0,,石凉 Shi Liang;;;马跃 Yue Ma;;;帕特里克·波查 Patrick Bauchau,";;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd",;;;北京电影制片厂 Beijing Film Studio;;; Catmoon Productions;;; Fourth Chinese Film Group,2002-10-21,2002,10,21,0,4,43,['剧情'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False
44,寻枪,120.0,2D,剧情,903.1,,姜文 Wen Jiang;;;石凉 Shi Liang;;;刘小宁 Xiaoning Liu;;;宁静 Jing Ning;;;伍宇娟 Yujuan Wu;;;魏小平 Wei Xiaoping;;;潘勇 Pan Yong,";;; Columbia TriStar Films de Argentina;;; Columbia TriStar Home Video;;; Columbia TriStar Home Video;;; Columbia TriStar Italia;;; Columbia TriStar;;; Columbia TriStar;;; LK-TEL;;;索尼电影娱乐公司 Sony Pictures Entertainment;;;华谊兄弟传媒股份有限公司 Huayi Brothers Media Group Co.,Ltd;;;博纳影业集团股份有限公司 Bona Film Group",";;;中国电影集团公司 China Film Group Corporation;;;华谊兄弟太合影视投资有限公司 Huayi Brothers&Taihe Entertainment  Co.,Ltd",2002-05-05,2002,5,5,6,2,18,['剧情'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,False
45,英雄,99.0,2D,武侠/动作,25001.0,1800.0,李连杰 Jet Li;;;梁朝伟 Tony Leung;;;张曼玉 Maggie Cheung;;;章子怡 Ziyi Zhang;;;陈道明 Daoming Chen;;;甄子丹 Donnie Yen;;;刘仲元 Zhongyuan Liu;;;郑天庸 Tianyong Zheng;;;常晓阳 Xiaoyang Chang;;;张亚坤 Yakun Zhang;;;马文华 Wenhua Ma;;;徐匡华 Kuanghua Xu;;;王守信 Shouxin Wang;;;黑子 Hei Zi;;;李磊 Lei Li;;;夏斌 Bin Xia;;;彭强 Qiang Peng;;;张毅 Zhang Yi;;;吴汉章 James Hong;;;伊丽莎白·宋 Elizabeth Sung;;;秦焰 Yan Qin,";;;安乐影片有限公司 EDKO Film Co.,Ltd;;;北京新画面影业有限公司 Beijing New Pictures Co.,Ltd;;;二十世纪福克斯电影公司 20th Century Fox Film Corporation;;; Alliance Atlantis Communications;;; Buena Vista International;;; Columbia TriStar Home Video;;;康斯坦丁影业公司 Constantin Film AG;;; Dutch FilmWorks (DFW);;; Eagle Pictures;;; Gativideo;;; Highlight Film;;; Hollywood Classic Entertainment;;; Medyavizyon;;;米拉麦克斯 Miramax Films;;; Moonlight Films;;; Rialto Film AG;;; United International Pictures (UIP);;;美国环球影业公司 Universal Pictures (Universal Studios Inc. );;;华纳兄弟电影公司 Warner Bros Pictures",";;;北京新画面影业有限公司 Beijing New Pictures Co.,Ltd;;;精英娱乐有限公司 Elite Group Enterprises",2002-12-24,2002,12,24,1,4,52,"['武侠', '动作']",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False
46,致命的一击,95.0,2D,剧情,214.2,,赵亮 Liang Zhao;;;孙镱菲 Yifei Sun;;;陈建斌 Jianbin Chen,;;;中国电影集团公司 China Film Group Corporation,;;;北京电影制片厂 Beijing Film Studio,2002-01-11,2002,1,11,4,1,2,['剧情'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,False
47,美丽的大脚,103.0,2D,农村/剧情,260.4,,倪萍 Ping Ni;;;袁泉 Quan Yuan;;;孙海英 Haiying Sun;;;许亚军 Yajun Xu;;;戈治均 Zhijun Ge,";;; Allumination Filmworks;;;陕西西影华谊电影发行有限公司 ShanXi XiYing HuaYi Film Distribution Co., LTD",;;; CTV-Media Studio Corporation,2002-11-01,2002,11,1,4,4,44,"['农村', '剧情']",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,False
48,嘎达梅林,109.0,2D,动作,70.1,,胡晓光 Xiaoguang Hu;;;李鸣 Ming Li;;;刘小薇 Xiaowei Liu;;;涂门 Men Tu,";;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd",";;;北京紫禁城影业有限责任公司 Beijing Forbidden City Pictures Co.,Ltd",2002-07-04,2002,7,4,3,3,27,['动作'],1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,False
49,和你在一起,116.0,2D,剧情,1200.0,6.0,唐韵 Yun Tang;;;刘佩琦 Liu Peiqi;;;陈红 Hong Chen;;;王志文 Zhiwen Wang;;;张琴 Qing Zhang;;;金慧莉 Hye-ri Kim;;;李传韵 Chuan-Yuan Li;;;唐如韫 Ru-Yun Tang;;;程前 Qian Cheng;;;陈凯歌 Kaige Chen,;;; A-Film Distribution;;; A-Film Home Entertainment;;; CDI Films;;; Cine Qua Non Films;;; EuropaCorp. Distribution;;; Future Film;;; Geneon Entertainment;;; Italian International Film;;; Madman Entertainment;;;米高梅电影发行公司 Metro-Goldwyn-Mayer Distributing Corporation (MGM);;; Momentum Pictures;;; Moonstone Entertainment;;; Tobis StudioCanal;;; Transeuropa Video Entertainment (TVE);;;联美电影公司 United Artists;;;博纳影业集团股份有限公司 Bona Film Group,;;;21世纪盛凯影业 21 Century ShengKai Pictures;;; 21st Century Hero Film Investments;;; Big Bang Creative;;;中国电影集团公司 China Film Group Corporation;;;国家新闻出版广电总局电影卫星频道节目制作中心 China Movie Channel SARFT;;; Chinarunn Entertainment Inc.,2002-09-20,2002,9,20,4,3,38,['剧情'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,False
50,假装没感觉,94.0,2D,剧情,95.0,,吕丽萍 Liping Lu;;;郑振瑶 Zhenyao Zheng,;;;上海电影股份有限公司影视发行分公司 Eastern Mordor,";;;上海电影（集团）有限公司 Shanghai Film Group Co.,Ltd",2002-10-07,2002,10,7,0,4,41,['剧情'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,True
51,开往春天的地铁,93.0,2D,剧情/爱情,0.5,,耿乐 Le Geng;;;张杨 Yang Zhang;;;柯蓝 Lan Ke;;;高圆圆 Yuanyuan Gao;;;徐静蕾 Jinglei Xu,;;;博纳影业集团股份有限公司 Bona Film Group,;;; Electric Orange Entertainment,2002-05-28,2002,5,28,1,2,22,"['剧情', '爱情']",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False
52,世界上最疼我的那个人去了,95.0,2D,亲情/剧情,10.0,,黄素影 Suying Huang;;;斯琴高娃 Gaowa Siqin;;;龚蓓苾 Beibi Gong;;; 石维坚 Weijian Shi,";;;北京联盟影业投资有限公司 Beijing Union Film Investment Co.,LTD",";;;北京电影制片厂 Beijing Film Studio;;;北京紫禁城影业有限责任公司 Beijing Forbidden City Pictures Co.,Ltd",2002-10-28,2002,10,28,0,4,44,"['亲情', '剧情']",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False
53,天脉传奇,103.0,2D,动作,2600.0,,杨紫琼 Michelle Yeoh;;;本·卓别林 Ben Chaplin;;;理查德·劳斯伯格 Richard Roxburgh;;;张卓楠 Brandon Chang;;;王宇婕 Margaret Wang;;;戴恩·库克 Dane Cook;;;曾江 Kenneth Tsang;;;海俊杰 Gabriel Harrison;;;赵文瑄 Winston Chao;;;寇振海 Zhenhai Kou;;;大旺堆 Dawangdui;;;郎雄 Xiong Lang;;;左小青 Xiaoqing Zuo,;;; Gala Film Distribution;;; Mega Star Video Distribution;;; Buena Vista International;;; Central Partnership;;; Highlight Film;;; Lolafilms Distribuci&#243;n;;;米拉麦克斯 Miramax Films;;;日活 Ri Guo;;; RCV Film Distribution;;; Solar Films;;;博纳影业集团股份有限公司 Bona Film Group,";;; Aruze Corporation;;;中国电影合作制片公司 China Film Co-Production Corporation;;; Han Entertainment;;;寰亚电影制作有限公司 Media Asia Film Production Co., Ltd.;;;电影神话有限公司 Movie Mythology Co.,Ltd;;; Pandasia Entertainment;;;天津电影制片厂 Tianjin Film Studio",2002-08-01,2002,8,1,3,3,31,['动作'],1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,False
